sensor,chamber_step,spec_high,spec_low
pressure,ST_100,0.5,0.8
pressure,ST_200,0.3,0.6
pressure,ST_300,0.5,0.8
pressure,ST_400,0.3,0.6
pressure,ST_500,0.5,0.8
pressure,ST_600,0.3,0.6
pressure,ST_700,0.5,0.8
pressure,ST_800,0.3,0.6
pressure,ST_900,0.5,0.8
pressure,ST_1000,0.3,0.6
temp,ST_100,110,140
temp,ST_200,130,175
temp,ST_300,110,140
temp,ST_400,130,175
temp,ST_500,110,140
temp,ST_600,130,175
temp,ST_700,110,140
temp,ST_800,130,175
temp,ST_900,110,140
temp,ST_1000,130,175
voltage,ST_100,0,1
voltage,ST_200,0,0
voltage,ST_300,0,1
voltage,ST_400,0,0
voltage,ST_500,0,1
voltage,ST_600,0,0
voltage,ST_700,0,1
voltage,ST_800,0,0
voltage,ST_900,0,1
voltage,ST_1000,0,0
